,Qty,Price before GST
"A4 Non Woven Bag (35.5cmH x 28cmL x 8.9cmD, full colour heat transfer print A4 logo size front,full colour heat transfer print A5 logo size back)",30,11.29
,40,11.15
,50,11.02
,60,10.89
,70,10.77
,80,10.55
,90,10.43
,100,9.74
,150,9.74
,200,9.67
,250,9.58
,300,9.17
,500,8.76
,750,8.46
,1000,8.01
,1500,7.86
,2000,7.68
,,
"A4 Non Woven Bag (35.5cmH x 28cmL x 8.9cmD, full colour heat transfer print A4 logo size front,full colour heat transfer print A4 logo size back)",30,12.38
,40,12.26
,50,12.11
,60,12.04
,70,11.82
,80,11.57
,90,11.45
,100,10.69
,150,10.69
,200,10.61
,250,10.51
,300,10.06
,500,9.61
,750,9.28
,1000,8.79
,1500,8.62
,2000,8.43
,,
,,
A3 Non Woven Bags - 5 to 10 working days,updated on,08.08.2024
"A3 Non Woven Bag (35cmH x 35cmL x 10cmD, No Print)",30,2.35
,40,1.97
,50,1.78
,60,1.65
,70,1.56
,80,1.48
,90,1.42
,100,1.32
,150,1.21
,200,1.16
,250,1.1
,300,1.02
,500,0.96
,750,0.88
,1000,0.82
,1500,0.78
,2000,0.76
,,
"A3 Non Woven Bag (35cmH x 35cmL x 10cmD, silkscreen print - 1c x 0c)",30,3.92
,40,3.36
,50,3.02
,60,2.79
,70,2.67
,80,2.54
,90,2.45
,100,2.15
,150,2.15
,200,1.94
,250,1.85
,300,1.77
,500,1.64
,750,1.55
,1000,0.93
,1500,1.37
,2000,1.3
,3000,1.25
,4000,1.18
,,
"A3 Non Woven Bag (35cmH x 35cmL x 10cmD, silkscreen print - 2c x 0c)",30,5.34
,40,4.55
,50,4.06
,60,3.76
,70,3.58
,80,3.4
,90,3.15
,100,2.92
,150,2.8
,200,2.55
,250,2.46
,300,2.34
,500,2.17
,750,2.02
,1000,1.89
,1500,1.68
,2000,1.62
,,
"A3 Non Woven Bag (35cmH x 35cmL x 10cmD, silkscreen print - 1c x 0c)",30,5.2
,40,4.45
,50,4
,60,3.7
,70,3.54
,80,3.37
,90,3.15
,100,2.76
,150,2.76
,200,2.49
,250,2.38
,300,2.28
,500,2.11
,750,1.99
,1000,1.83
,1500,1.65
,2000,1.57
,,
"A3 Non Woven Bag (35cmH x 35cmL x 10cmD, silkscreen print - 2c x 0c)",30,6.81
,40,5.8
,50,5.46
,60,5.06
,70,4.82
,80,4.58
,90,4.24
,100,3.93
,150,3.77
,200,3.43
,250,3.31
,300,3.15
,500,2.92
,750,2.72
,1000,2.54
,1500,2.26
,2000,2.18
,,
"A3 Non Woven Bag (35cmH x 35cmL x 10cmD, silkscreen print - 2c x 1c)",30,8.15
,40,6.94
,50,6.54
,60,6.05
,70,5.81
,80,5.52
,90,5.11
,100,4.74
,150,4.54
,200,4.14
,250,3.99
,300,3.8
,500,3.52
,750,3.28
,1000,3.07
,1500,2.73
,2000,2.63
,,
"A3 Non Woven Bag (35cmH x 35cmL x 10cmD, silkscreen print - 2c x 2c)",30,9.67
,40,8.24
,50,7.75
,60,7.18
,70,7.01
,80,6.66
,90,6.17
,100,5.72
,150,5.48
,200,4.99
,250,4.82
,300,4.58
,500,4.25
,750,3.95
,1000,3.7
,1500,3.29
,2000,3.17
,,
"A3 Non Woven Bag (35cmH x 35cmL x 10cmD, full colour heat transfer print A5 logo size on 1 side",30,6.97
,40,6.31
,50,5.95
,60,5.72
,70,5.55
,80,5.38
,90,5.23
,100,5.1
,150,4.96
,200,4.81
,250,4.64
,300,4.52
,500,4.4
,750,4.24
,1000,4.16
,1500,4.02
,2000,3.92
,,
"A3 Non Woven Bag (35cmH x 35cmL x 10cmD, full colour heat transfer print A4 logo size on 1 side)",30,9.35
,40,8.3
,50,8.12
,60,7.96
,70,7.7
,80,7.47
,90,7.26
,100,7.09
,150,6.89
,200,6.68
,250,6.45
,300,6.28
,500,6.12
,750,5.89
,1000,5.7
,1500,5.49
,2000,5.45
,,
"A3 Non Woven Bag (35cmH x 35cmL x 10cmD, full colour heat transfer print A5 logo size front,full colour heat transfer print A5 logo size back)",30,10.62
,40,9.43
,50,9.23
,60,9.04
,70,8.75
,80,8.49
,90,8.25
,100,8.06
,150,7.83
,200,7.59
,250,7.33
,300,7.14
,500,6.95
,750,6.69
,1000,6.48
,1500,6.24
,2000,6.19
,,
A3 Non Woven Bags Square Size - 5 to 10 working days,updated on,08.08.2024
"A3 Non Woven Bag Square Size (35.5cmH x 35.5cmL x 10.2cmD, 
on A3 90 gsm non-woven material, No Print)",30,3.27
,40,2.74
,50,2.48
,60,2.3
,70,2.17
,80,2.06
,90,1.98
,100,1.84
,150,1.68
,200,1.62
,250,1.53
,300,1.42
,500,1.34
,750,1.23
,1000,1.14
,1500,1.09
,2000,1.06
,,
"A3 Non Woven Bag Square Size (35.5cmH x 35.5cmL x 10.2cmD, 
on A3 90 gsm non-woven material,  silkscreen print - 1c x 0c)",30,5.15
,40,4.41
,50,3.96
,60,3.66
,70,3.5
,80,3.33
,90,3.22
,100,2.82
,150,2.82
,200,2.55
,250,2.43
,300,2.32
,500,2.15
,750,2.03
,1000,1.86
,1500,1.8
,2000,1.71
,,
"A3 Non Woven Bag Square size(35.5cmH x 35.5cmL x 10.2cmD, silkscreen print - 2c x 0c)",30,6.74
,40,5.74
,50,5.13
,60,4.75
,70,4.52
,80,4.29
,90,3.98
,100,3.86
,150,3.7
,200,3.37
,250,3.25
,300,3.09
,500,2.87
,750,2.67
,1000,2.5
,1500,2.22
,2000,2.14
,,
"A3 Non Woven Bag Square size(35.5cmH x 35.5cmL x 10.2cmD, silkscreen print - 1c x 0c)",30,6.57
,40,5.62
,50,5.05
,60,4.67
,70,4.47
,80,4.25
,90,3.98
,100,3.65
,150,3.65
,200,3.29
,250,3.15
,300,3.02
,500,2.79
,750,2.63
,1000,2.42
,1500,2.18
,2000,2.08
,,
"A3 Non Woven Bag Square size(35.5cmH x 35.5cmL x 10.2cmD, silkscreen print - 2c x 0c)",30,8.6
,40,7.32
,50,6.89
,60,6.39
,70,6.09
,80,5.78
,90,5.35
,100,5.2
,150,4.99
,200,4.54
,250,4.38
,300,4.17
,500,3.86
,750,3.6
,1000,3.36
,1500,2.99
,2000,2.88
,,
"A3 Non Woven Bag Square size(35.5cmH x 35.5cmL x 10.2cmD, full colour heat transfer print A5 logo size on 1 side)",30,8.73
,40,7.59
,50,7.15
,60,6.88
,70,6.67
,80,6.47
,90,6.29
,100,6.13
,150,5.96
,200,5.78
,250,5.58
,300,5.44
,500,5.29
,750,5.1
,1000,5
,1500,4.83
,2000,4.71
,,
"A3 Non Woven Bag Square size(35.5cmH x 35.5cmL x 10.2cmD, full colour heat transfer print A4 logo size on 1 side)",30,9.95
,40,9.07
,50,8.87
,60,8.7
,70,8.41
,80,8.16
,90,7.93
,100,7.75
,150,7.53
,200,7.3
,250,7.05
,300,6.86
,500,6.69
,750,6.43
,1000,6.23
,1500,6
,2000,5.95
,,
A5 Non Woven Bags - 5 to 10 working days,updated on,08.08.2024
"A5 Non Woven Bag (21.5cmH x 17.5cmL x 7.5cmD, No Print)",30,2.21
,40,1.84
,50,1.62
,60,1.48
,70,1.4
,80,1.33
,90,1.28
,100,1.2
,150,1.09
,200,1.03
,250,0.98
,300,0.91
,500,0.83
,750,0.77
,1000,0.72
,1500,0.69
,2000,0.67
,,
"A5 Non Woven Bag (21.5cmH x 17.5cmL x 7.5cmD, silkscreen print - 1c x 0c)",30,3.8
,40,3.23
,50,2.91
,60,2.69
,70,2.56
,80,2.41
,90,2.31
,100,2.14
,150,1.96
,200,1.86
,250,1.78
,300,1.68
,500,1.52
,750,1.41
,1000,1.3
,1500,1.24
,2000,1.19
,,
"A5 Non Woven Bag (21.5cmH x 17.5cmL x 7.5cmD, silkscreen print, 
silkscreen print - 2c x 0c)",30,5.15
,40,4.34
,50,3.91
,60,3.6
,70,3.37
,80,3.22
,90,3.06
,100,2.81
,150,2.64
,200,2.53
,250,2.36
,300,2.22
,500,2.06
,750,1.92
,1000,1.74
,1500,1.62
,2000,1.56
,,
"A5 Non Woven Bag (21.5cmH x 17.5cmL x 7.5cmD, silkscreen print - 2c x 1c)",30,7.29
,40,5.82
,50,5.13
,60,4.67
,70,4.49
,80,4.22
,90,4.02
,100,3.85
,150,3.11
,200,2.89
,250,2.79
,300,2.59
,500,2.25
,750,2.09
,1000,1.87
,1500,1.82
,2000,1.78
,,
"A5 Non Woven Bag (21.5cmH x 17.5cmL x 7.5cmD, silkscreen print - 2c x 2c)",30,9.06
,40,7.61
,50,6.57
,60,6.06
,70,5.56
,80,5.19
,90,4.82
,100,4.57
,150,3.85
,200,3.64
,250,3.42
,300,3.16
,500,2.79
,750,2.55
,1000,2.42
,1500,2.21
,2000,2.08
,,
"A5 Non Woven Bag (21.5cmH x 17.5cmL x 7.5cmD, silkscreen print - 1c x 0c)",30,4.86
,40,4.14
,50,3.72
,60,3.44
,70,3.28
,80,3.08
,90,2.95
,100,2.73
,150,2.51
,200,2.38
,250,2.28
,300,2.15
,500,1.94
,750,1.81
,1000,1.68
,1500,1.59
,2000,1.52
,,
"A5 Non Woven Bag (21.5cmH x 17.5cmL x 7.5cmD, silkscreen print - 2c x 0c)",30,6.94
,40,5.63
,50,5.08
,60,4.67
,70,4.37
,80,4.18
,90,3.97
,100,3.65
,150,3.43
,200,3.29
,250,3.06
,300,2.88
,500,2.67
,750,2.5
,1000,2.27
,1500,2.1
,2000,2.02
,,
"A5 Non Woven Bag (21.5cmH x 17.5cmL x 7.5cmD, Full Colour Heat Transfer Print, A5 logo print size on 1 side)",30,6.65
,40,6.31
,50,5.81
,60,5.69
,70,5.58
,80,5.47
,90,5.41
,100,5.05
,150,5.05
,200,5.01
,250,4.96
,300,4.75
,500,4.54
,750,4.23
,1000,4.01
,1500,3.93
,2000,3.84
,,
"A5 Non Woven Bag (21.5cmH x 17.5cmL x 7.5cmD, Full Colour Heat Transfer Print, A4 logo print size on 1 side)",30,9
,40,8.68
,50,8.14
,60,8.01
,70,8.01
,80,7.77
,90,7.7
,100,7.59
,150,7.51
,200,7.51
,250,7.45
,300,7.28
,500,7.07
,750,6.93
,1000,6.46
,1500,6.1
,2000,5.97
,,
"A5 Non Woven Bag (21.5cmH x 17.5cmL x 7.5cmD, full colour heat transfer print A5 logo size front,full colour heat transfer print A5 logo size back)",30,9.69
,40,9.18
,50,9.63
,60,9.42
,70,9.24
,80,9.05
,90,8.95
,100,8.36
,150,8.36
,200,8.31
,250,8.22
,300,7.87
,500,7.51
,750,7.26
,1000,6.88
,1500,6.74
,2000,6.6
,,
"A5 Non Woven Bag (21.5cmH x 17.5cmL x 7.5cmD, full colour heat transfer print A4 logo size front,full colour heat transfer print A5 logo size back)",30,10.9
,40,10.33
,50,10.84
,60,10.59
,70,10.4
,80,10.19
,90,10.07
,100,9.41
,150,9.41
,200,9.34
,250,9.25
,300,8.86
,500,8.46
,750,8.17
,1000,7.74
,1500,7.59
,2000,7.42
,,
"A5 Non Woven Bag (21.5cmH x 17.5cmL x 7.5cmD, full colour heat transfer print A4 logo size front,full colour heat transfer print A4 logo size back)",30,11.96
,40,11.34
,50,11.89
,60,11.63
,70,11.41
,80,11.17
,90,11.06
,100,10.32
,150,10.32
,200,10.25
,250,10.15
,300,9.71
,500,9.28
,750,8.96
,1000,8.49
,1500,8.32
,2000,8.14
,,
,,
Large Non Woven Bags - 5 to 10 working days,updated on,08.08.2024
"Large Non Woven Bag (38.1cmH x 43.18cmL x 11.43cmD, silkscreen print - 1c x 0c)",30,4.75
,40,4.13
,50,3.76
,60,3.54
,70,3.27
,80,3.1
,90,3.01
,100,2.87
,150,2.73
,200,2.54
,250,2.49
,300,2.45
,500,2.36
,750,2.22
,1000,2.14
,1500,2.03
,2000,1.85
,,
"Large Non Woven Bag (38.1cmH x 43.18cmL x 11.43cmD, silkscreen print - 2c x 0c)",30,7.32
,40,6.13
,50,5.36
,60,4.91
,70,4.57
,80,4.29
,90,4.06
,100,3.87
,150,3.43
,200,3.14
,250,3.1
,300,3.05
,500,2.97
,750,2.89
,1000,2.8
,1500,2.64
,2000,2.51
,,
"Large Non Woven Bag (38.1cmH x 43.18cmL x 11.43cmD, silkscreen print - 1c x 0c)",30,5.97
,40,4.85
,50,4.26
,60,4.04
,70,3.88
,80,3.77
,90,3.65
,100,3.43
,150,3.21
,200,3.12
,250,2.92
,300,2.75
,500,2.59
,750,2.36
,1000,2.24
,1500,2.08
,2000,1.96
,,
,,
A4 Jute Bags,updated on,08.08.2024
"A4 Jute Bags (32.5cmH x 30cmW x 15cmD, No Print)",30,6.27
,40,5.79
,50,5.45
,60,5.25
,70,5.09
,80,4.95
,90,4.83
,100,4.71
,150,4.46
,200,4.27
,250,4.19
,300,4.09
,500,3.95
,750,3.81
,1000,3.68
,1500,3.62
,2000,3.57
,,
"A4 Jute Bags (32.5cmH x 30cmW x 15cmD, silkscreen print - 1c x 0c)",30,7.29
,40,6.73
,50,6.34
,60,6.1
,70,5.92
,80,5.75
,90,5.61
,100,5.47
,150,5.18
,200,4.96
,250,4.87
,300,4.75
,500,4.59
,750,4.43
,1000,4.28
,1500,4.21
,2000,4.15
,,
"A4 Jute Bags (32.5cmH x 30cmW x 15cmD, silkscreen print - 2c x 0c)",30,10.04
,40,9.07
,50,8.39
,60,8.02
,70,7.69
,80,7.43
,90,7.21
,100,7.01
,150,6.56
,200,6.25
,250,6.11
,300,6.02
,500,5.89
,750,5.72
,1000,5.6
,1500,5.52
,2000,5.43
,,
"A4 Jute Bags (32.5cmH x 30cmW x 15cmD, heat transfer A5  logo size 1 side)",30,8.76
,40,8.5
,50,7.71
,60,7.5
,70,7.38
,80,7.27
,90,7.15
,100,6.81
,150,6.45
,200,6.23
,250,6.1
,300,5.99
,500,5.87
,750,5.69
,1000,5.57
,1500,5.44
,2000,5.36
,,
"A4 Jute Bags (32.5cmH x 30cmW x 15cmD, heat transfer A4  logo size 1 side)",30,9.61
,40,9.32
,50,8.24
,60,8.11
,70,7.98
,80,7.84
,90,7.71
,100,7.3
,150,7.07
,200,6.88
,250,6.75
,300,6.56
,500,6.43
,750,6.29
,1000,6.16
,1500,6.02
,2000,5.95
,,
,,
A3 Jute Bags,updated on ,08.08.2024
"A3 Jute Bags (31.5cmH x 41cmW x 14cmD, no logo print)",30,7.48
,40,6.92
,50,6.48
,60,6.14
,70,6.07
,80,5.96
,90,5.92
,100,4.49
,150,5.61
,200,5.48
,250,5.31
,300,5.2
,500,5.11
,750,5.02
,1000,4.88
,1500,4.69
,2000,4.24
,,
"A3 Jute Bags (31.5cmH x 41cmW x 14cmD, silkscreen print - 1c x 0c)",30,8.43
,40,7.88
,50,7.47
,60,7.24
,70,7.04
,80,6.88
,90,6.71
,100,6.56
,150,6.26
,200,6.01
,250,5.86
,300,5.71
,500,5.6
,750,5.45
,1000,5.34
,1500,5.22
,2000,5.16
,,
"A3 Jute Bags (31.5cmH x 41cmW x 14cmD, silkscreen print - 2c x 0c)",30,10.24
,40,9.58
,50,9.07
,60,8.8
,70,8.55
,80,8.35
,90,7.84
,100,7.67
,150,7.31
,250,7.02
,200,6.85
,300,6.67
,500,6.54
,750,6.37
,1000,6.24
,1500,6.1
,2000,6.03
,,
,,
Landscape Jute Bags,updated on,08.08.2024
"Landscape Jute Bags (30cmH x 34.5cmW x 14.5cmD, silkscreen print - 1c x 0c)",30,7.55
,40,6.57
,50,6.3
,60,6.2
,70,6.11
,80,6.03
,90,5.98
,100,5.86
,150,5.66
,200,5.54
,300,5.54
,500,5.36
,750,5.25
,1000,5.14
,1500,5.02
,2000,4.92
,,
"Landscape Jute Bags (30cmH x 34.5cmW x 14.5cmD, silkscreen print - 2c x 0c)",30,9.58
,40,8.74
,50,8.16
,60,7.83
,70,7.55
,80,7.33
,90,7.12
,100,6.95
,150,6.53
,200,6.53
,300,6.25
,500,6.12
,750,5.96
,1000,5.84
,1500,5.72
,2000,5.55
,,
,,
A4 Jute Bags with Canvas,updated on,08.09.2024
"A4 Jute Bag with Canvas (35cmH x 30cmW x 15cmD, silkscreen print - 1c x 0c)",30,9.77
,40,8.51
,50,8.16
,60,8.03
,70,7.91
,80,7.81
,90,7.74
,100,7.59
,150,7.32
,200,7.17
,250,7.17
,300,6.94
,500,6.8
,750,6.66
,1000,6.5
,1500,6.37
,2000,6.12
,,
"A4 Jute Bag with Canvas (35cmH x 30cmW x 15cmD, silkscreen print - 2c x 0c)",30,10.79
,40,9.52
,50,9.18
,60,9.04
,70,8.9
,80,8.79
,90,8.71
,100,8.54
,150,8.25
,200,8.07
,250,8.07
,300,7.81
,500,7.65
,750,7.49
,1000,7.32
,1500,7.17
,2000,6.89
,,
"A4 Jute Bags with canvas (32.5cmH x 30cmW x 15cmD, heat transfer A5  logo size 1 side)",30,11.92
,40,10.52
,50,10.14
,60,9.98
,70,9.83
,80,9.7
,90,9.62
,100,9.43
,150,9.1
,200,8.91
,250,8.91
,300,8.63
,500,8.45
,750,8.27
,1000,8.08
,1500,7.92
,,
"A4 Jute Bags with canvas (32.5cmH x 30cmW x 15cmD, heat transfer A4 logo size 1 side)",30,12.9
,40,11.28
,50,10.97
,60,10.8
,70,10.63
,80,10.5
,90,10.41
,100,10.21
,150,9.85
,200,9.65
,250,9.65
,300,9.34
,500,9.15
,750,8.95
,1000,8.75
,1500,8.57
,,
Laminated Jute Bag - 5 to 10 working days,updated on,08.09.2024
"Laminated Jute Bags (18cmH x 20cmW x 18cmD, silkscreen print - 1c x 0c)",30,6.4
,40,5.49
,50,5.17
,60,4.92
,70,4.75
,80,4.63
,90,4.5
,100,4.35
,150,4.25
,200,4.19
,250,4.06
,300,3.91
,500,3.83
,750,3.76
,1000,3.7
,1500,3.64
,2000,3.5
,,
"Laminated Jute Bags (18cmH x 20cmW x 18cmD, silkscreen print - 2c x 0c)",30,7.12
,40,6.48
,50,6.15
,60,5.93
,70,5.79
,80,5.63
,90,5.35
,100,5.19
,150,4.95
,200,4.81
,250,4.67
,300,4.6
,500,4.45
,750,4.33
,1000,4.16
,1500,4.06
,2000,3.88
,,
,,
A3 Coloured Jute Bags,updated on,08.09.2024
"A3 Coloured Jute Bags (34cmH x 43cmW x 15cmD, silkscreen print - 1c x 0c)",30,8.43
-,40,7.88
,50,7.47
,60,7.24
,70,7.04
,80,6.88
,90,6.71
,100,6.56
,150,6.26
,200,6.01
,250,5.86
,300,5.71
,500,5.6
,750,5.45
,1000,5.34
,1500,5.22
,2000,5.16
,,
"A3 Coloured Jute Bags (34cmH x 43cmW x 15cmD, silkscreen print - 2c x 0c)",30,10.24
,40,9.58
,50,9.07
,60,8.8
,70,8.55
,80,8.35
,90,7.84
,100,7.67
,150,7.31
,200,7.02
,250,6.85
,300,6.67
,500,6.54
,750,6.37
,1000,6.24
,1500,6.1
,2000,6.03
,,
"A3 Coloured Jute Bags (34cmH x 43cmW x 15cmD, heat transfer A5  logo size 1 side)",30,11.64
,40,10.88
,50,10.3
,60,9.99
,70,9.71
,80,9.49
,90,8.91
,100,8.71
,150,8.3
,200,7.98
,250,7.78
,300,7.57
,500,7.43
,750,7.24
,1000,7.09
,1500,6.93
,2000,6.85
,,
,,
A4 Coloured Jute Bags - 5 to 10 working days,updated on ,08.14.2024
"A4 Coloured Jute Bags (32cmH x 30cmW x 15cmD, No Print)",30,6.19
,40,5.72
,50,5.39
,60,5.18
,70,5.03
,80,4.88
,90,4.77
,100,4.65
,150,4.4
,200,4.21
,250,4.14
,300,4.04
,500,3.9
,750,3.76
,1000,3.64
,1500,3.58
,2000,3.53
,,
,,
"A4 Coloured Jute Bags (32cmH x 30cmW x 15cmD, silkscreen print - 1c x 0c)",30,7.22
,40,6.67
,50,6.28
,60,6.04
,70,5.86
,80,5.7
,90,5.56
,100,5.42
,150,5.13
,200,4.91
,250,4.82
,300,4.71
,500,4.55
,750,4.39
,1000,4.24
,1500,4.17
,2000,4.11
,,
"A4 Coloured Jute Bags (32cmH x 30cmW x 15cmD, silkscreen print - 2c x 0c)",30,9.94
,40,8.98
,50,8.31
,60,7.94
,70,7.62
,80,7.36
,90,7.14
,100,6.94
,150,6.5
,200,6.19
,250,6.05
,300,5.96
,500,5.83
,750,5.67
,1000,5.55
,1500,5.47
,2000,5.38
,,
,,
Urgent A4 Coloured Jute Bags - 5 to 10 working days,created on,08.09.2024
"Urgent A4 Coloured Jute Bags (32cmH x 30cmW x 15cmD, silkscreen print - 1c x 0c)",30,8.22
,40,7.68
,50,7.36
,60,7.14
,70,6.95
,80,6.7
,90,6.54
,100,6.36
,150,6.18
,200,5.85
,250,5.72
,300,5.56
,500,5.46
,750,5.32
,1000,5.21
,1500,5.1
,2000,5.04
,,
"Urgent A4 Coloured Jute Bags (32cmH x 30cmW x 15cmD, silkscreen print - 2c x 0c)",30,10.11
,40,9.35
,50,8.65
,60,8.27
,70,7.93
,80,7.66
,90,7.44
,100,7.23
,150,6.77
,200,6.45
,250,6.3
,300,6.21
,500,6.08
,750,5.9
,1000,5.78
,1500,5.7
,2000,5.6
,,
Urgent A4 Coloured Jute Bags - 5 to 10 working days,,
"Urgent A4 Coloured Jute Bags (32cmH x 30cmW x 15cmD, Full heat transfer print - 8cm x 8cm)",30,8.02
,40,7.78
,50,7.16
,60,6.96
,70,6.79
,80,6.66
,90,6.5
,100,6.41
,150,6.25
,200,6.13
,250,6.04
,300,5.92
,500,5.79
,750,5.62
,1000,5.5
,1500,5.31
,2000,5.27
,,
"Urgent A4 Coloured Jute Bags (32cmH x 30cmW x 15cmD, Full heat transfer print - A5 size)",30,8.7
,40,8.44
,50,7.66
,60,7.45
,70,7.33
,80,7.22
,90,7.1
,100,6.77
,150,6.41
,200,6.19
,250,6.06
,300,5.95
,500,5.83
,750,5.65
,1000,5.53
,1500,5.41
,2000,5.33
,,
"Urgent A4 Coloured Jute Bags (32cmH x 30cmW x 15cmD, Full heat transfer print - A4 size)",30,9.54
,40,9.23
,50,8.18
,60,8.06
,70,7.93
,80,7.79
,90,7.66
,100,7.25
,150,7.02
,200,6.83
,250,6.71
,300,6.52
,500,6.39
,750,6.25
,1000,6.12
,1500,5.98
,2000,5.91
,,
,,
Floral Jute Bags,updated on ,08.14.2024
"Floral Jute Bags (38cmH x 37cmW x 15cmD, silkscreen print - 1c x 0c)",30,7.19
,40,6.63
,50,6.27
,60,5.95
,70,5.79
,80,5.63
,90,5.51
,100,5.37
,150,5.12
,200,4.9
,250,4.76
,300,4.68
,500,4.47
,750,4.35
,1000,4.24
,1500,4.12
,2000,4.03
,,
"Floral Jute Bags (38cmH x 37cmW x 15cmD, silkscreen print - 2c x 0c)",30,9.81
,40,8.87
,50,8.27
,60,7.78
,70,7.5
,80,7.28
,90,7.08
,100,6.9
,150,6.49
,200,6.13
,250,5.99
,300,5.83
,500,5.74
,750,5.6
,1000,5.48
,1500,5.37
,2000,5.13
,,
,,
Foldable Non Woven Bags,updated on ,08.09.2024
"Foldable Non Woven Bags (39.37cmL x 10.16cmW x 34.39cmH, silkscreen print - 1c x 0c)",30,5.25
,40,4.51
,50,4
,60,3.71
,70,3.51
,80,3.3
,90,3.18
,100,3.08
,150,2.76
,200,2.57
,250,2.45
,300,2.31
,500,2.26
,750,2.18
,1000,2.11
,1500,2.06
,2000,1.95
,,
"Foldable Non Woven Bags (39.37cmL x 10.16cmW x 34.39cmH, silkscreen print - 2c x 0c)",30,6.95
,40,5.92
,50,5.21
,60,4.81
,70,4.52
,80,4.23
,90,4.07
,100,3.93
,150,3.48
,200,3.23
,250,3.06
,300,2.9
,500,2.34
,750,2.26
,1000,2.18
,1500,2.09
,2000,2
,,
"Foldable Non Woven Bags (39.37cmL x 10.16cmW x 34.39cmH, 
Heat Transfer Print - A5 size)",30,8.04
,40,7.67
,50,6.75
,60,6.23
,70,5.95
,80,5.67
,90,5.45
,100,5.19
,150,4.96
,200,4.62
,250,4.39
,300,4.12
,500,3.96
,750,3.4
,1000,3.22
,1500,2.99
,2000,2.85
,,
Nylon Drawstring Bags - 5 to 10 working days,updated on ,08.08.2024
"Nylon Drawstring Bags (42cmH x 34cmL, silkscreen print - 1c x 0c)",30,5.04
,40,4.39
,50,3.95
,60,3.67
,70,3.49
,80,3.33
,90,3.23
,100,3.14
,150,2.9
,200,2.73
,250,2.66
,300,2.57
,500,2.3
,750,2.1
,1000,1.9
,1500,1.85
,2000,1.85
,,
"Nylon Drawstring Bags (42cmH x 34cmL, silkscreen print - 2c x 0c)",30,6.53
,40,5.63
,50,5.02
,60,4.62
,70,4.38
,80,4.15
,90,4.01
,100,3.89
,150,3.55
,200,3.32
,250,3.21
,300,3.1
,500,2.83
,750,2.54
,1000,2.28
,1500,2.23
,2000,2.19
,,
"Nylon Drawstring Bags (42cmH x 34cmL, silkscreen print - 3c x 0c)",30,7.87
,40,7.35
,50,6.97
,60,6.35
,70,5.79
,80,5.4
,90,5.13
,100,4.91
,150,4.78
,200,4.36
,250,4.01
,300,3.77
,500,3.58
,750,3.45
,1000,3.17
,1500,2.94
,2000,2.82
,,
"Nylon Drawstring Bags (42cmH x 34cmL, full colour heat transfer A5 logo size )",30,8.24
,40,7.86
,50,7.2
,60,6.99
,70,6.88
,80,6.63
,90,6.57
,100,6.33
,150,6.11
,200,5.9
,250,5.68
,300,5.52
,500,5.36
,750,4.8
,1000,4.49
,1500,4.4
,2000,4.32
,,
"Nylon Drawstring Bags (42cmH x 34cmL, full colour heat transfer A4 logo size )",30,11.01
,40,10.57
,50,9.68
,60,9.4
,70,9.25
,80,8.99
,90,8.85
,100,8.71
,150,8.4
,200,8.11
,250,7.93
,300,7.7
,500,7.59
,750,7.14
,1000,6.5
,1500,6.37
,2000,6.25
,,
"Nylon Drawstring Bags (42cmH x 34cmL, full colour heat transfer A5 logo size, back A5 logo heat transfer )",30,12.22
,40,11.73
,50,10.74
,60,10.43
,70,10.27
,80,9.97
,90,9.81
,100,9.66
,150,9.32
,200,9
,250,8.79
,300,8.55
,500,8.42
,750,7.92
,1000,7.21
,1500,7.06
,2000,6.93
,,
"Nylon Drawstring Bags (42cmH x 34cmL, full colour heat transfer A4 logo size, back A5 logo heat transfer )",30,13.62
,40,13.07
,50,11.97
,60,11.62
,70,11.44
,80,11.12
,90,10.94
,100,10.76
,150,10.38
,200,10.03
,250,9.8
,300,9.52
,500,9.39
,750,8.82
,1000,8.03
,1500,7.87
,2000,7.73
,,
"Nylon Drawstring Bags (42cmH x 34cmL, full colour heat transfer A4 logo size, back A4 logo heat transfer )",30,15.04
,40,14.3
,50,13.1
,60,12.72
,70,12.52
,80,12.17
,90,11.97
,100,11.78
,150,11.36
,200,10.98
,250,10.73
,300,10.42
,500,10.27
,750,9.66
,1000,8.79
,1500,8.61
,2000,8.46
,,
,,
Non Woven Drawstring Bags - 5 to 10 working days,updated on,08.14.2024
"Non Woven Drawstring Bags (44.5cmH x 35.5cmL, silkscreen print - 1c x 0c)",30,4.75
,40,4.18
,50,3.78
,60,3.55
,70,3.38
,80,3.23
,90,3.09
,100,2.97
,150,2.73
,200,2.54
,250,2.33
,300,2.19
,500,2.08
,750,1.75
,1000,1.59
,1500,1.36
,2000,1.2
,,
"Non Woven Drawstring Bags (44.5cmH x 35.5cmL, silkscreen print - 2c x 0c)",30,6.44
,40,5.56
,50,4.95
,60,4.56
,70,4.32
,80,4.1
,90,3.96
,100,3.84
,150,3.5
,200,3.28
,250,3.17
,300,3.06
,500,2.79
,750,2.51
,1000,2.26
,1500,2.22
,2000,2.17
,,
"Non Woven Drawstring Bags (44.5cmH x 35.5cmL, full colour heat transfer A5 logo size)",30,7.98
,40,6.78
,50,6.53
,60,6.04
,70,5.65
,80,5.35
,90,5.08
,100,4.84
,150,4.36
,200,4.01
,250,3.81
,300,3.69
,500,3.55
,750,3.46
,1000,3.31
,1500,3.14
,2000,2.97
